,x
892,深物业A 000011
893,南  玻Ａ 000012
894,沙河股份 000014
895,深康佳Ａ 000016
896,*ST中华A 000017
897,ST中冠A 000018
898,深深宝Ａ 000019
899,深华发Ａ 000020
900,长城开发 000021
901,深赤湾Ａ 000022
902,深天地Ａ 000023
903,招商地产 000024
904,特  力Ａ 000025
905,飞亚达Ａ 000026
906,深圳能源 000027
907,一致药业 000028
908,深深房Ａ 000029
909,*ST盛润A 000030
910,中粮地产 000031
911,深桑达Ａ 000032
912,新都酒店 000033
913,ST深泰 000034
914,*ST科健 000035
915,华联控股 000036
916,深南电Ａ 000037
917,中集集团 000039
918,深 鸿 基 000040
919,深 长 城 000042
920,中航地产 000043
921,深纺织Ａ 000045
922,泛海建设 000046
923,ST康达尔 000048
924,德赛电池 000049
925,深天马Ａ 000050
926,方大集团 000055
927,深 国 商 000056
928,深 赛 格 000058
929,辽通化工 000059
930,中金岭南 000060
931,农 产 品 000061
932,深圳华强 000062
933,中兴通讯 000063
934,北方国际 000065
935,长城电脑 000066
936,ST三星 000068
937,华侨城Ａ 000069
938,特发信息 000070
939,海王生物 000078
940,盐 田 港 000088
941,深圳机场 000089
942,深 天 健 000090
943,广聚能源 000096
944,中信海直 000099
945,TCL 集团 000100
946,宜华地产 000150
947,中成股份 000151
948,丰原药业 000153
949,川化股份 000155
950,中联重科 000157
951,常山股份 000158
952,国际实业 000159
953,东方市场 000301
954,潍柴动力 000338
955,许继电气 000400
956,冀东水泥 000401
957,金 融 街 000402
958,华意压缩 000404
959,胜利股份 000407
960,*ST金谷 000408
961,ST泰复 000409
962,沈阳机床 000410
963,英特集团 000411
964,宝  石Ａ 000413
965,*ST汇通 000415
966,民生投资 000416
967,合肥百货 000417
968,小天鹅Ａ 000418
969,通程控股 000419
970,吉林化纤 000420
971,南京中北 000421
972,湖北宜化 000422
973,东阿阿胶 000423
974,徐工机械 000425
975,富龙热电 000426
976,华天酒店 000428
977,粤高速Ａ 000429
978,*ST张股 000430
979,晨鸣纸业 000488
980,鄂武商Ａ 000501
981,绿景地产 000502
982,海虹控股 000503
983,*ST传媒 000504
984,ST珠江 000505
985,中润投资 000506
986,珠海港 000507
987,S*ST华塑 000509
988,金路集团 000510
989,银基发展 000511
990,丽珠集团 000513
991,渝 开 发 000514
992,开元控股 000516
993,荣安地产 000517
994,四环生物 000518
995,江南红箭 000519
996,长航凤凰 000520
997,美菱电器 000521
998,白云山Ａ 000522
999,广州浪奇 000523
1000,东方宾馆 000524
1001,红 太 阳 000525
1002,旭飞投资 000526
1003,美的电器 000527
1004,柳    工 000528
1005,广弘控股 000529
1006,大冷股份 000530
1007,穗恒运Ａ 000531
1008,力合股份 000532
1009,万 家 乐 000533
1010,万泽股份 000534
1011,华映科技 000536
1012,广宇发展 000537
1013,云南白药 000538
1014,粤电力Ａ 000539
1015,中天城投 000540
1016,佛山照明 000541
1017,皖能电力 000543
1018,中原环保 000544
1019,吉林制药 000545
1020,光华控股 000546
1021,闽福发Ａ 000547
1022,湖南投资 000548
1023,江铃汽车 000550
1024,创元科技 000551
1025,靖远煤电 000552
1026,沙隆达Ａ 000553
1027,泰山石油 000554
1028,ST 太 光 000555
1029,*ST广夏 000557
1030,莱茵置业 000558
1031,万向钱潮 000559
1032,昆百大Ａ 000560
1033,烽火电子 000561
1034,宏源证券 000562
1035,陕国投Ａ 000563
1036,西安民生 000564
1037,渝三峡Ａ 000565
1038,海南海药 000566
1039,海德股份 000567
1040,泸州老窖 000568
1041,苏常柴Ａ 000570
1042,新大洲Ａ 000571
1043,海马股份 000572
1044,粤宏远Ａ 000573
1045,ST甘化 000576
1046,盐湖集团 000578
1047,威孚高科 000581
1048,北 海 港 000582
1049,友利控股 000584
1050,东北电气 000585
1051,ST汇源 000586
1052,S*ST光明 000587
1053,黔轮胎Ａ 000589
1054,紫光古汉 000590
1055,桐 君 阁 000591
1056,中福实业 000592
1057,大通燃气 000593
1058,国恒铁路 000594
1059,西北轴承 000595
1060,古井贡酒 000596
1061,东北制药 000597
1062,兴蓉投资 000598
1063,青岛双星 000599
1064,建投能源 000600
1065,韶能股份 000601
1066,*ST金马 000602
1067,*ST 威达 000603
1068,ST 四 环 000605
1069,青海明胶 000606
1070,华智控股 000607
1071,阳光股份 000608
1072,绵世股份 000609
1073,西安旅游 000610
1074,时代科技 000611
1075,焦作万方 000612
1076,ST东海Ａ 000613
1077,湖北金环 000615
1078,亿城股份 000616
1079,石油济柴 000617
1080,海螺型材 000619
1081,吉林敖东 000623
1082,长安汽车 000625
1083,如意集团 000626
1084,天茂集团 000627
1085,高新发展 000628
1086,*ST钒钛 000629
1087,铜陵有色 000630
1088,顺发恒业 000631
1089,三木集团 000632
1090,ST合金 000633
1091,英 力 特 000635
1092,风华高科 000636
1093,茂化实华 000637
1094,万方地产 000638
1095,西王食品 000639
1096,仁和药业 000650
1097,格力电器 000651
1098,泰达股份 000652
1099,金岭矿业 000655
1100,ST 东 源 000656
1101,珠海中富 000659
1102,长春高新 000661
1103,索 芙 特 000662
1104,永安林业 000663
1105,武汉塑料 000665
1106,经纬纺机 000666
1107,名流置业 000667
1108,荣丰控股 000668
1109,领先科技 000669
1110,阳 光 城 000671
1111,*ST大水 000673
1112,*ST思达 000676
1113,山东海龙 000677
1114,襄阳轴承 000678
1115,大连友谊 000679
1116,山推股份 000680
1117,东方电子 000682
1118,远兴能源 000683
1119,中山公用 000685
1120,东北证券 000686
1121,保定天鹅 000687
1122,宝新能源 000690
1123,*ST亚太 000691
1124,惠天热电 000692
1125,滨海能源 000695
1126,*ST 偏转 000697
1127,沈阳化工 000698
1128,模塑科技 000700
1129,厦门信达 000701
1130,正虹科技 000702
1131,*ST光华 000703
1132,浙江震元 000705
1133,双环科技 000707
1134,大冶特钢 000708
1135,河北钢铁 000709
1136,天兴仪表 000710
1137,天伦置业 000711
1138,锦龙股份 000712
1139,丰乐种业 000713
1140,中兴商业 000715
1141,*ST南方 000716
1142,韶钢松山 000717
1143,苏宁环球 000718
1144,ST能山 000720
1145,西安饮食 000721
1146,美锦能源 000723
1147,京东方Ａ 000725
1148,鲁  泰Ａ 000726
1149,华东科技 000727
1150,国元证券 000728
1151,燕京啤酒 000729
1152,四川美丰 000731
1153,ST三农 000732
1154,振华科技 000733
1155,罗 牛 山 000735
1156,ST 重 实 000736
1157,南风化工 000737
1158,中航动控 000738
1159,普洛股份 000739
1160,长城信息 000748
1161,SST集琦 000750
1162,锌业股份 000751
1163,西藏发展 000752
1164,漳州发展 000753
1165,山西三维 000755
1166,新华制药 000756
1167,中色股份 000758
1168,武汉中百 000759
1169,*ST博盈 000760
1170,本钢板材 000761
1171,西藏矿业 000762
1172,通化金马 000766
1173,漳泽电力 000767
1174,西飞国际 000768
1175,广发证券 000776
1176,中核科技 000777
1177,新兴铸管 000778
1178,三毛派神 000779
1179,平庄能源 000780
1180,美达股份 000782
1181,长江证券 000783
1182,武汉中商 000785
1183,北新建材 000786
1184,西南合成 000788
1185,江西水泥 000789
1186,华神集团 000790
1187,西北化工 000791
1188,盐湖钾肥 000792
1189,华闻传媒 000793
1190,太原刚玉 000795
1191,易食股份 000796
1192,中国武夷 000797
1193,中水渔业 000798
1194,酒 鬼 酒 000799
1195,一汽轿车 000800
1196,四川九洲 000801
1197,北京旅游 000802
1198,金宇车城 000803
1199,银河科技 000806
1200,云铝股份 000807
1201,中汇医药 000809
1202,华润锦华 000810
1203,烟台冰轮 000811
1204,陕西金叶 000812
1205,天山纺织 000813
1206,美利纸业 000815
1207,江淮动力 000816
1208,*ST化工 000818
1209,岳阳兴长 000819
1210,*ST金城 000820
1211,京山轻机 000821
1212,山东海化 000822
1213,超声电子 000823
1214,太钢不锈 000825
1215,桑德环境 000826
1216,东莞控股 000828
1217,天音控股 000829
1218,鲁西化工 000830
1219,*ST关铝 000831
1220,贵糖股份 000833
1221,四川圣达 000835
