"","x"
"821","西部矿业 601168"
"822","北京银行 601169"
"823","杭齿前进 601177"
"824","中国西电 601179"
"825","中国铁建 601186"
"826","龙江交通 601188"
"827","内蒙君正 601216"
"828","二重重装 601268"
"829","农业银行 601288"
"830","中国北车 601299"
"831","中国平安 601318"
"832","交通银行 601328"
"833","广深铁路 601333"
"834","陕鼓动力 601369"
"835","兴业证券 601377"
"836","中国中铁 601390"
"837","工商银行 601398"
"838","吉林高速 601518"
"839","大智慧 601519"
"840","华锐风电 601558"
"841","北辰实业 601588"
"842","中国铝业 601600"
"843","中国太保 601601"
"844","上海医药 601607"
"845","广电电气 601616"
"846","中国中冶 601618"
"847","中国人寿 601628"
"848","平煤股份 601666"
"849","中国建筑 601668"
"850","DR滨化股 601678"
"851","华泰证券 601688"
"852","潞安环能 601699"
"853","风范股份 601700"
"854","郑煤机 601717"
"855","际华集团 601718"
"856","上海电气 601727"
"857","中国南车 601766"
"858","力帆股份 601777"
"859","光大证券 601788"
"860","星宇股份 601799"
"861","皖新传媒 601801"
"862","中海油服 601808"
"863","光大银行 601818"
"864","中国石油 601857"
"865","中海集运 601866"
"866","招商轮船 601872"
"867","正泰电器 601877"
"868","大连港 601880"
"869","中国国旅 601888"
"870","亚星锚链 601890"
"871","中煤能源 601898"
"872","紫金矿业 601899"
"873","国投新集 601918"
"874","中国远洋 601919"
"875","永辉超市 601933"
"876","建设银行 601939"
"877","金钼股份 601958"
"878","中国银行 601988"
"879","中国重工 601989"
"880","大唐发电 601991"
"881","金隅股份 601992"
"882","中信银行 601998"
"883","出版传媒 601999"
"884",""
"885","深发展Ａ 000001"
"886","万  科Ａ 000002"
"887","ST国农 000004"
"888","世纪星源 000005"
"889","深振业Ａ 000006"
"890","ST零七 000007"
"891","ST宝利来 000008"
"892","中国宝安 000009"
"893","S ST华新 000010"
"894","深物业A 000011"
"895","南  玻Ａ 000012"
"896","沙河股份 000014"
"897","深康佳Ａ 000016"
"898","*ST中华A 000017"
"899","ST中冠A 000018"
"900","深深宝Ａ 000019"
"901","深华发Ａ 000020"
"902","长城开发 000021"
"903","深赤湾Ａ 000022"
"904","深天地Ａ 000023"
"905","招商地产 000024"
"906","特  力Ａ 000025"
"907","飞亚达Ａ 000026"
"908","深圳能源 000027"
"909","一致药业 000028"
"910","深深房Ａ 000029"
"911","*ST盛润A 000030"
"912","中粮地产 000031"
"913","深桑达Ａ 000032"
"914","新都酒店 000033"
"915","ST深泰 000034"
"916","*ST科健 000035"
"917","华联控股 000036"
"918","深南电Ａ 000037"
"919","中集集团 000039"
"920","深 鸿 基 000040"
"921","深 长 城 000042"
"922","中航地产 000043"
"923","深纺织Ａ 000045"
"924","泛海建设 000046"
"925","ST康达尔 000048"
"926","德赛电池 000049"
"927","深天马Ａ 000050"
"928","方大集团 000055"
"929","深 国 商 000056"
"930","深 赛 格 000058"
"931","辽通化工 000059"
"932","中金岭南 000060"
"933","农 产 品 000061"
"934","深圳华强 000062"
"935","中兴通讯 000063"
"936","北方国际 000065"
"937","长城电脑 000066"
"938","ST三星 000068"
"939","华侨城Ａ 000069"
"940","特发信息 000070"
"941","海王生物 000078"
"942","盐 田 港 000088"
"943","深圳机场 000089"
"944","深 天 健 000090"
"945","广聚能源 000096"
"946","中信海直 000099"
"947","TCL 集团 000100"
"948","宜华地产 000150"
"949","中成股份 000151"
"950","丰原药业 000153"
"951","川化股份 000155"
"952","中联重科 000157"
"953","常山股份 000158"
"954","国际实业 000159"
"955","东方市场 000301"
"956","潍柴动力 000338"
"957","许继电气 000400"
"958","冀东水泥 000401"
